Athlete	CountryCode	Sport	Medals
christian gitsham	SAF	Athletics	1
christian ryan, nick porzig, mike mckay, stuart welch, robert jahrling, brett hayman, alastair gordon, daniel burke, jaime fernandez	AUS	Rowing	1
christian sprenger	AUS	Swimming	1
christian sprenger, hayden stoeckel, matt targett, james magnussen	AUS	Swimming	1
christina lathan-brehmer	GDR	Athletics	2
christina lathan-brehmer, barbara krug, marita koch, gabriele l?we	GDR	Athletics	1
christina lathan-brehmer, doris maletzki, brigitte rohde, ellen streidt	GDR	Athletics	1
christine collins, sarah garner	USA	Rowing	1
christine gosse, h?l?ne cortin	FRA	Rowing	1
christine magnuson	USA	Swimming	1
christine ohuruogu	GBR	Athletics	2
christine wachtel	GDR	Athletics	1
christoph h?hne	GDR	Athletics	1
chris von saltza	USA	Swimming	2
chris von saltza, shirley stobs, joan spillane, carolyn wood	USA	Swimming	1
chris williams, danny mcfarlane, michael blackwood, greg haughton	JAM	Athletics	1
claire dennis	AUS	Swimming	1
clarence demar	USA	Athletics	1
clarke scholes	USA	Swimming	1
claude piquemal, g?rard f?nouil, jocelyn delecour, roger bambuck	FRA	Athletics	1
claudia blasberg, daniela reimer	GER	Rowing	1
claudia blasberg, valerie viehoff	GER	Rowing	1
claudia kolb	USA	Swimming	3
claudia poll	CRC	Swimming	3
claudia zaczkiewicz	FRG	Athletics	1
clement chukwu, sunday bada, jude monye, enefiok udo-obong	NGR	Athletics	1
cliff cushman	USA	Athletics	1
clinton hill, patrick dwyer, mark ormrod, john steffensen	AUS	Athletics	1
clint robinson	AUS	Canoeing	2
clint robinson, nathan baggaley	AUS	Canoeing	1
clyde hefer, stephen evans, james battersby, ian edmunds, craig muller, sam patten, ion popa, gavin thredgold, timothy willoughby	AUS	Rowing	1
clyde scott	USA	Athletics	1
colette besson	FRA	Athletics	1
colin jackson	GBR	Athletics	1
colin smith, tom stallard, josh west, matthew langridge, tom lucy, alex partridge, alastair heathcote, richard egington	GBR	Rowing	1
colin von ettingshausen, peter h?ltzenbein	GER	Rowing	1
colleen lanne, kara lynn joyce, maritza correia, lindsay benko, natalie coughlin, amanda weir, jenny thompson	USA	Swimming	1
con cochran, alan helffrich, oliver macdonald, bill stevenson	USA	Athletics	1
conny van bentum, desi reijers, annemarie verstappen, elles voskes	NED	Swimming	1
conny van bentum, marianne muis, mildred muis, karin brienese	NED	Swimming	1
conny van bentum, wilma van velsen, reggie de jong, annelies maas	NED	Swimming	1
conny wassmuth, katrin wagner, fanny fischer, nicole reinhardt	GER	Canoeing	1
conrad robertson, shane o'brien, les o'connell, keith trask	NZL	Rowing	1
constance titus	USA	Rowing	1
constanta burcica-pipota, angela alupei	ROM	Rowing	1
constanta burcica-pipota, camelia macoviciuc	ROM	Rowing	1
constantina tomescu	ROM	Athletics	1
cornelia polit	GDR	Swimming	1
cornelia sideri, hilde lauer	ROM	Canoeing	1
cornelia sirch	GDR	Swimming	2
costica olaru	ROM	Canoeing	1
courtney shealy, ashley tappin, dara torres, erin phenix, amy van dyken, jenny thompson	USA	Swimming	1
craig dixon	USA	Athletics	1
crissy ahmann-leighton	USA	Swimming	1
cristiena cojocaru	ROM	Athletics	1
cristina teuscher	USA	Swimming	1
csaba giczi, istv?n tim?r	HUN	Canoeing	1
csaba horv?th, gy?rgy kolonics	HUN	Canoeing	2
cullen jones	USA	Swimming	1
curtis myden	CAN	Swimming	3
cyril gill, jack london, edward smouha, walter rangeley	GBR	Athletics	1
cyril stiles, fred thompson	NZL	Rowing	1
dagmar hase	GER	Swimming	5
daichi suzuki	JPN	Swimming	1
dana schoenfield	USA	Swimming	1
dana vollmer	USA	Swimming	1
dana vollmer, allison schmitt, missy franklin, shannon vreeland	USA	Swimming	1
dana vollmer, allison schmitt, rebecca soni, missy franklin	USA	Swimming	1
dana vollmer, rhi jeffrey, lindsay benko, natalie coughlin, carly piper, kaitlin sandeno, rachel komisarz	USA	Swimming	1
daniela hunger	GDR	Swimming	2
daniela hunger	GER	Swimming	1
daniela hunger, kathrin mei?ner, kristin otto, manuela stellmach	GDR	Swimming	1
daniela neunast, ute wild, ute wagner-stange, beatrix schr?er, annegret strauch, ramona balthasar, anja kluge, kathrin haacker, judith zeidler	GDR	Rowing	1
daniela walkowiak?wna	POL	Canoeing	1
daniel barrow	USA	Rowing	1
daniel bautista	MEX	Athletics	1
daniele scarpa, antonio rossi	ITA	Canoeing	1
daniel gyurta	HUN	Swimming	2
daniel harrigan	USA	Swimming	1
daniel jedraszko, pawel baraszkiewicz	POL	Canoeing	1
daniel kowalski	AUS	Swimming	3
daniel plaza	ESP	Athletics	1
daniel sangouma, gilles qu?n?herv?, max morini?re, bruno marie-rose	FRA	Athletics	1
dan kinsey	USA	Athletics	1
danny collins, andrew trim	AUS	Canoeing	1
danny everett	USA	Athletics	1
danny harris	USA	Athletics	1
danny mcfarlane	JAM	Athletics	1
danuta kozak	HUN	Canoeing	1
danut dobre, marin gheorghe, vasile lonel mastacan, claudiu gabriel marin, vasile dorel nastase, loan lulian vizitiu, iulica ruican, viorel talapan, valentin robu	ROM	Rowing	1
danyon loader	NZL	Swimming	3
daphne hasenjager	SAF	Athletics	1
dara torres	USA	Swimming	4
darcy hadfield	NZL	Rowing	1
dario dentale, luca agamennoni, lorenzo porzio, raffaello leonardo	ITA	Rowing	1
darren campbell	GBR	Athletics	1
dave hall	USA	Athletics	1
dave wottle	USA	Athletics	1
davian clarke, greg haughton, michael mcdonald, roxbert martin	JAM	Athletics	1
david berkoff	USA	Swimming	2
david cal	ESP	Canoeing	5
david collins, william carlucci, jeff pfaendtner, marc schneider	USA	Rowing	1
david crawshay, scott brennan	AUS	Rowing	1
david davies	GBR	Swimming	1
davide rummolo	ITA	Swimming	1
david fox, scott tucker, jon olsen, brad schumacher, josh davis, gary hall jr.	USA	Swimming	1
david gillanders	USA	Swimming	1
david grindley, kriss akabusi, roger black, john regis	GBR	Athletics	1
david hemery	GBR	Athletics	2
david jacobs, henry macintosh, vic d'arcy, willie applegarth	GBR	Athletics	1
david kopriva, jakub hanak, david jirka, tomas karas	CZR	Rowing	1
david larsen, bruce hayes, mike heath, jeffrey float, geoffrey gaberino	USA	Swimming	1
david lekuta rudisha	KEN	Athletics	1
david lowe, duncan goodhew, gary abraham, trevor smith	GBR	Swimming	1
david l?pez-zubero	ESP	Swimming	1
david neville	USA	Athletics	1
david oliver	USA	Athletics	1
david payne	USA	Athletics	1
david power	AUS	Athletics	1
david segal, peter radford, neville whitehead, david jones	GBR	Athletics	1
david sime	USA	Athletics	1
david theile	AUS	Swimming	2
david townsend, ian mcnuff, martin cross, john beattie	GBR	Rowing	1
david wharton	USA	Swimming	1
david wilkie	GBR	Swimming	3
david wilson	USA	Swimming	1
davis kamoga	UGA	Athletics	1
dawn fraser	AUS	Swimming	4
dawn harper	USA	Athletics	2
dayron robles	CUB	Athletics	1
debbie ferguson	BAH	Athletics	1
debbie flintoff-king	AUS	Athletics	1
debbie flood, frances houghton, alison mowbray, rebecca romero	GBR	Rowing	1
debbie meyer	USA	Swimming	3
debra sapenter, rosalyn bryant, pamela jiles, sheila ingram	USA	Athletics	1
deedee trotter	USA	Athletics	1
deena kastor	USA	Athletics	1
dejen gebremeskel	ETH	Athletics	1
delfo cabrera	ARG	Athletics	1
demitrios golemis	GRE	Athletics	1
denis alexeev, vladislav frolov, maksim dyldin, anton kokorin	RUS	Athletics	1
denis nizhegorodov	RUS	Athletics	2
denis pankratov	RUS	Swimming	2
denis pimankov, roman yegorov, vladimir predkin, vladimir pyshnenko, aleksandr popov	RUS	Swimming	1
dennis mitchell	USA	Athletics	1
dennis mitchell, mike marsh, carl lewis, leroy burrell	USA	Athletics	1
denys sylant'yev	UKR	Swimming	1
deon hemmings	JAM	Athletics	2
deon hemmings, lorraine graham, sandie richards, catherine scott-pomales	JAM	Athletics	1
derartu tulu	ETH	Athletics	3
derek ibbotson	GBR	Athletics	1
derek johnson	GBR	Athletics	1
derek porter	CAN	Rowing	1
derrick adkins	USA	Athletics	1
derrick brew	USA	Athletics	1
derrick brew, otis harris jr, darold williamson, jeremy wariner	USA	Athletics	1
detlef lewe	FRG	Canoeing	2
diana mocanu	ROM	Swimming	2
diana munz	USA	Swimming	2
diana munz, julia stowers, lindsay benko, kim black, samantha arsenault, jenny thompson	USA	Swimming	1
diana paliyska, vanja gesheva-tsvetkova	BUL	Canoeing	1
dick quax	NZL	Athletics	1
didier hoyer, eric renaud	FRA	Canoeing	1
didier hoyer, olivier boivin	FRA	Canoeing	1
diederik simon, niels van der zwan, nico rienks, koos maasdijk, jeroen duyster, ronald florijn, michiel bartman, henk-jan zwolle, niels van steenis	NED	Rowing	1
dieter baumann	FRG	Athletics	1
dieter baumann	GER	Athletics	1
dieter grahn, frank forberger, dieter schubert, frank r?hle	GDR	Rowing	1
dieter lindner	GER	Athletics	1
dieter wendisch, karl-heinz prud?hl, roland kostulski, hans-joachim l?ck, gottfried d?hn, werner klatt, ulrich karnatz, karl-heinz danielowski, bernd baumgart	GDR	Rowing	1
dimitrie ivanov, haralambie ivanov, anton calenic, mihai turcas	ROM	Canoeing	1
ding chen	CHN	Athletics	1
dirk crois, pierre-marie deloof	BEL	Rowing	1
dirk lippits, michiel bartman, diederik simon, jochem verberne	NED	Rowing	1
dirk richter, steffen zesner, thomas flemming, lars hinneburg	GDR	Swimming	1
disqualified, usa	NA	Athletics	1
djan madruga, jorge fernandes, ciro marques delgado, marcus mattioli	BRA	Swimming	1
djurdica bjedov	YUG	Swimming	2
dmitry volkov	URS	Swimming	1
dmitry volkov, vadim yaroshchuk, gennady prigoda, igor polyansky	URS	Swimming	1
doina ignat, constanta burcica-pipota, georgeta andrunache, eniko barab?s, viorica susanu, rodica serban, simona musat, ioana papuc	ROM	Rowing	1
doina ignat, georgeta damian	ROM	Rowing	1
doina ignat, liliana gafencu, elena georgescu, georgeta damian, vera cochelea, maria magdalena dumitrache, elisabeta lipa, ioana olteanu, viorica susanu	ROM	Rowing	1
doina ignat, vera cochelea, anisoara dobre-balan, constanta burcica-pipota	ROM	Rowing	1
doina melinte	ROM	Athletics	2
domenico fioravanti	ITA	Swimming	2
donald boal, earl eastwood, harry fry, joseph harris, cedric liddell, george macdonald, albert taylor, william thoburn, stanley stanyar	CAN	Rowing	1
donald finlay	GBR	Athletics	2
donald lippincott	USA	Athletics	2
donald mckenzie	USA	Swimming	1
donald smith, gary macdonald, stephen pickell, clay evans	CAN	Swimming	1
dongxiang xu, wenyi huang	CHN	Rowing	1
donna de varona	USA	Swimming	1
donna de varona, kathleen ellis, sharon stouder, pokey watson	USA	Swimming	1
donna gurr	CAN	Swimming	1
donovan bailey	CAN	Athletics	1
don quarrie	JAM	Athletics	3
don schollander	USA	Swimming	3
don thompson	GBR	Athletics	1
dorian mortelette, benjamin rondeau, germain chardin, julien despr?s	FRA	Rowing	1
dorothy hyman	GBR	Athletics	2
dorothy manley	GBR	Athletics	1
douglas bennett	CAN	Canoeing	1
douglas gjertsen, troy dalbey, matt cetlinski, matt biondi	USA	Swimming	1
douglas lowe	GBR	Athletics	2
douglas northway	USA	Swimming	1
douglas russell	USA	Swimming	1
douglas wakiihuri	KEN	Athletics	1
dragos neagu, danut dobre	ROM	Rowing	1
drew ginn, duncan free	AUS	Rowing	1
drew ginn, james chapman, joshua dunkley-smith, william lockwood	AUS	Rowing	1
drew ginn, nicholas green, mike mckay, james tomkins	AUS	Rowing	1
dudley storey, dick tonks, noel mills, ross collinge	NZL	Rowing	1
duje draganja	CRO	Swimming	1
duke kahanamoku	USA	Swimming	3
duncan armstrong	AUS	Swimming	2
duncan free, janusz hooker, bo hanson, ron snook	AUS	Rowing	1
duncan goodhew	GBR	Swimming	1
duncan white	SRI	Athletics	1
dwayne evans	USA	Athletics	1
eamon sullivan	AUS	Swimming	1
earl eby	USA	Athletics	1
earl jones	USA	Athletics	1
earl thomson	CAN	Athletics	1
eckhard leue	GDR	Canoeing	1
ed coode, james cracknell, steve williams, matthew pinsent	GBR	Rowing	1
eddie hart, larry black, robert taylor, gerald tinker	USA	Athletics	1
eddie southern	USA	Athletics	1
eddie tolan	USA	Athletics	2
eddy ottoz	ITA	Athletics	1
edith mcguire	USA	Athletics	2
ed mckeever	GBR	Canoeing	1
ed moses	USA	Swimming	1
eduardo guerrero, tranquilo cappozzo	ARG	Rowing	1
eduardo risso	URU	Rowing	1
edvin wide	SWE	Athletics	4
edward lindberg	USA	Athletics	1
edwin moses	USA	Athletics	3
edwin roberts	TRI	Athletics	1
edwin soi	KEN	Athletics	1
eeke van nes, pieta van dishoeck	NED	Rowing	1
eero berg	FIN	Athletics	1
egil s?by, jan johansen, steinar amundsen, tore berger	NOR	Canoeing	1
egil s?by, steinar amundsen, tore berger, jan johansen	NOR	Canoeing	1
egon drews, wilfried soltau	GER	Canoeing	1
eino purje-borg	FIN	Athletics	1
eirik larsen	NOR	Canoeing	2
eirik veraas larsen	NOR	Canoeing	1
ejigayehu dibaba	ETH	Athletics	1
ekaterina karsten	BLR	Rowing	1
ekaterina poistogova	RUS	Athletics	1
ekaterini thanou	GRE	Athletics	1
elaine tanner	CAN	Swimming	2
elaine tanner, marion lay, marilyn corson, angela coughlan	CAN	Swimming	1
elana meyer	RSA	Athletics	1
eleanor garatti-saville	USA	Swimming	2
eleanor holm	USA	Swimming	1
elena lashmanova	RUS	Athletics	1
elfi zinn	GDR	Athletics	1
elia luini, leonardo pettinari	ITA	Rowing	1
elias katz	FIN	Athletics	1
elio ragni, orazio mariani, tullio gonnelli, gianni caldana	KIT	Athletics	1
elisabeta lipa	ROM	Rowing	1
elisabeta lipa, vera cochelea	ROM	Rowing	1
elisabeta lipa, vera cochelea, anisoara dobre-balan	ROM	Rowing	1
elisa rigaudo	ITA	Athletics	1
elise laverick, anna bebington	GBR	Rowing	1
eliud kipchoge	KEN	Athletics	2
elizabeth beisel	USA	Swimming	2
elizabeth davies	GBR	Swimming	1
elizabeth mccolgan	GBR	Athletics	1
elizabeth robinson	USA	Athletics	1
elizabeth wagstaff, nicole haislett, megan kleine, crissy ahmann-leighton, jenny thompson, summer sanders, anita nall, lea loveless	USA	Swimming	1
elke sehmisch, gabriele wetzko, kornelia ender, andrea eife	GDR	Swimming	1
ellen fiedler	GDR	Athletics	1
ellen king	GBR	Swimming	1
ellen king, joyce cooper, cissie stewart, vera tanner	GBR	Swimming	1
ellen streidt	GDR	Athletics	1
ellen van langen	NED	Athletics	1
ellie daniel	USA	Swimming	3
ellie daniel, catie ball, kaye hall, susan pedersen	USA	Swimming	1
elliott bunney, linford christie, mike mcfarlane, john regis	GBR	Athletics	1
elodie ouedraogo, hanna marien, olivia borlee, kim gevaert	BEL	Athletics	1
else jacobsen	DEN	Swimming	1
elvan abeylegesse	TUR	Athletics	2
elvira vasilkova	URS	Swimming	1
emanuele merisi	ITA	Swimming	1
emanuel silva, fernando piment	POR	Canoeing	1
emiel puttemans	BEL	Athletics	1
emil breitkreutz	USA	Athletics	1
emile champion	FRA	Athletics	1
emilio lunghi	KIT	Athletics	1
emily seebohm	AUS	Swimming	1
emily silver, julia smit, dara torres, kara lynn joyce, lacey nymeyer, natalie coughlin	USA	Swimming	1
emil z?topek	CZE	Athletics	5
emmanuel bailey	GBR	Athletics	1
enith brigitha	NED	Swimming	2
enrique figuerola	CUB	Athletics	1
enrique figuerola, hermes ramirez, pablo montes, juan morales	CUB	Athletics	1
eric fish, robert kasting, william mahony, bruce robertson	CAN	Swimming	1
erich borchmeyer, erwin gillmeister, wilhelm leichum, gerd hornberger	GER	Athletics	1
erich borchmeyer, helmuth k?rnig, arthur jonath, fritz hendrix	GER	Athletics	1
erich koschik	GER	Canoeing	1
erich rademacher	GER	Swimming	1
erick barrondo	GUA	Athletics	1
erick wainaina	KEN	Athletics	2
eric liddell	GBR	Athletics	2
eric murray, hamish bond	NZL	Rowing	1
eric namesnik	USA	Swimming	2
eric verdonk	NZL	Rowing	1
erik backman	SWE	Athletics	1
erik byl?hn	SWE	Athletics	1
erik christiansen, lars nielsen, per rasmussen, michael jessen	DEN	Rowing	1
erik elms?ter	SWE	Athletics	1
erik hansen	DEN	Canoeing	2
erik vendt	USA	Swimming	2
erkka wil?n	FIN	Athletics	1
erminio dones, pietro annoni	KIT	Rowing	1
ernesto ambrosini	KIT	Athletics	1
ernesto canto	MEX	Athletics	1
ernie harper	GBR	Athletics	1
ernst fast	SWE	Athletics	1
ernst hoppenberg	DEU	Swimming	1
ernst schultz	DEN	Athletics	1
ervin hall	USA	Athletics	1
erwin sietas	GER	Swimming	1
erzsebet viski, kinga bota, katalin kovacs, szilvia szabo	HUN	Canoeing	1
eshetu tura	ETH	Athletics	1
eskild ebbesen, kasper winther, jacob barsoe, morten jorgensen	DEN	Rowing	1
eskild ebbesen, thomas ebert, victor feddersen, soren madsen	DEN	Rowing	1
ethelda bleibtrey	USA	Swimming	1
ethel lackie	USA	Swimming	1
ethel smith	CAN	Athletics	1
etienne dagon	SUI	Swimming	1
etienne gailly	BEL	Athletics	1
euphrasia donnelly, ethel lackie, gertrude ederle, mariechen wehselau	USA	Swimming	1
eva-maria ten elsen	GER	Swimming	1
eva risztov	HUN	Swimming	1
evelyn ashford	USA	Athletics	2
evelyn kawamoto	USA	Swimming	1
evelyn kawamoto, joan alderson, marilee stepan, jacqueline lavine	USA	Swimming	1
everard butler	CAN	Rowing	1
evgeny korotyshkin	RUS	Swimming	1
evgeny lagunov, nikita lobintsev, mikhail polishchuk, danila izotov, alexander sukhorukov	RUS	Swimming	1
ewa klobukowska	POL	Athletics	1
ewa klobukowska, halina g?recka-richter, teresa ciepla, irena szewinska	POL	Athletics	1
ezekiel kemboi	KEN	Athletics	2
fabien gilot, amaury leveaux, clement lefert, yannick agnel	FRA	Swimming	1
faith leech	AUS	Swimming	1
falilat ogunkoya	NGR	Athletics	1
fani halkia	GRE	Athletics	1
fanny blankers-koen	NED	Athletics	2
fanny durack	ANZ	Swimming	1
fanny rosenfeld	CAN	Athletics	1
fatuma roba	ETH	Athletics	1
fay moulton	USA	Athletics	1
federica pellegrini	ITA	Swimming	2
felipe m??oz	MEX	Swimming	1
felix sanchez	DOM	Athletics	2
ferenc csik	HUN	Swimming	1
ferenc moh?csi, k?roly wieland	HUN	Canoeing	1
ferenc novak, imre pulai	HUN	Canoeing	1
fermin cacho	ESP	Athletics	2
fernanda ribeiro	POR	Athletics	2
fernando scherer	BRA	Swimming	1
fie udby erichsen	DEN	Rowing	1
filbert bayi	TAN	Athletics	1
filippo soffici, alessandro corona, gianluca farina, rossano galtarossa	ITA	Rowing	1
fita bayissa	ETH	Athletics	1
fita lovin	ROM	Athletics	1
florence griffith-joyner	USA	Athletics	3
florent manaudou	FRA	Swimming	1
florian schwarthoff	GER	Athletics	1
florin popescu, mitica pricop	ROM	Canoeing	1
ford konno	USA	Swimming	2
ford konno, james mclane, wayne moore, william woolsey	USA	Swimming	1
forrest smithson	USA	Athletics	1
forrest towns	USA	Athletics	1
foy draper, ralph metcalfe, jesse owens, frank wykoff	USA	Athletics	1
francesco cossu, giliante d'este, antonio ghiardello, antonio garzoni provenzani	KIT	Rowing	1
francesco la macchia, aldo dezzi	ITA	Canoeing	1
frances schroth	USA	Swimming	1
frances schroth, ethelda bleibtrey, irene guest, margaret woodbridge	USA	Swimming	1
francine fox, glorianne perrier	USA	Canoeing	1
francis amyot	CAN	Canoeing	1
francisco javier fernandez	ESP	Athletics	1
francis hegerty, matthew ryan, james marburg, cameron mckenzie-mcharg	AUS	Rowing	1
francis kerbiriou, gilles bertould, jacques carette, roger v?lasquez	FRA	Athletics	1
francis lane	USA	Athletics	1
francis obikwelu	POR	Athletics	1
franjo mihalic	YUG	Athletics	1
frank baltrusch	GDR	Swimming	1
frank baumgartl	GDR	Athletics	1
frank beaurepaire	ANZ	Swimming	2
frank beaurepaire	AUS	Swimming	2
frank beaurepaire, william herald, henry hay, ivan stedman	AUS	Swimming	1
frank cuhel	USA	Athletics	1
frank esposito	FRA	Swimming	1
frank forberger, dieter grahn, dieter schubert, frank r?hle	GDR	Rowing	1
frank greer	USA	Rowing	1
frank hansen, svein th?gersen	NOR	Rowing	1
frankie fredericks	NAM	Athletics	4
frank jarvis	USA	Athletics	1
frank loomis	USA	Athletics	1
frank mckinney	USA	Swimming	2
frank mckinney, lance larson, jeffrey farrell, paul hait	USA	Swimming	1
frank pf?tze, detlev grabs, rainer strohbach, j?rg woithe	GDR	Swimming	1
frank saker, harvey charters	CAN	Canoeing	1
frank schaffer	GDR	Athletics	1
frank shorter	USA	Athletics	2
frank waller	USA	Athletics	2
frank wiegand	GER	Swimming	1
frank wiegand, roland matthes, eugen henninger, horst-g?nter gregor	GDR	Swimming	1
franziska van almsick	GER	Swimming	3
franziska van almsick, hannah stockbauer, antje buschschulte, petra dallmann, janina g?tz	GER	Swimming	1
franziska van almsick, sandra v?lker, simone osygus, kerstin kielga?, dagmar hase, meike freitag	GER	Swimming	1
fr?d?ric delcourt	FRA	Swimming	1
fred deburghgraeve	BEL	Swimming	1
freddie lane	AUS	Swimming	1
frederica van der goes, rhoda rennie, kathleen russell, marie bedford	SAF	Swimming	1
frederick murray	USA	Athletics	1
frederick pollard	USA	Athletics	1
frederick schule	USA	Athletics	1
frederick tyler, mark spitz, john kinsella, steven genter	USA	Swimming	1
fred holman	GBR	Swimming	1
fred kelly	USA	Athletics	1
fred moloney	USA	Athletics	1
fred newhouse	USA	Athletics	1
fred newhouse, maxie parks, benjamin brown, herman frazier	USA	Athletics	1
fred onyancha	KEN	Athletics	1
fred schmidt	USA	Swimming	1
fred schmidt, harold mann, steve clark, william craig	USA	Swimming	1
friedhelm wentzke, berni schulze, g?nter perleberg, holger zander	GER	Canoeing	1
fritz bondroit, ewald tilker	GER	Canoeing	1
fritz hofmann	DEU	Athletics	1
fritzi schwingl	AUT	Canoeing	1
gabi m?ller, sabine eichenberger, ingrid haralamow, daniela baumer	SUI	Canoeing	1
gabriela szabo	ROM	Athletics	3
gabriella dorio	ITA	Athletics	1
gabriella szab?, katalin kov?cs, danuta koz?k, natasa janics	HUN	Canoeing	1
gabriel tiacoh	CIV	Athletics	1
gail devers	USA	Athletics	2
gail neall	AUS	Swimming	1
galen rupp	USA	Athletics	1
galina alekseyeva-kreft, nina trofimova-gopova	URS	Canoeing	1
galina bukharina, lyudmila samotesova, vera popkova, lyudmila maslakova	URS	Athletics	1
galina malchugina, lyudmila kondratyeva, natalya pomoshchnikova, marina zhirova	URS	Athletics	1
galina stepanova-prozumenshchykova	URS	Swimming	5
gamze bulut	TUR	Athletics	1
garth manton, michael aikman, adrian monger, harold hewitt, james howden, walter howell, bryan doyle, angus benfield, david boykett	AUS	Rowing	1
gary chapman	AUS	Swimming	1
gary dilley	USA	Swimming	1
gary gullock, paul reedy, anthony lovrich, timothy mclaren	AUS	Rowing	1
gary hall	USA	Swimming	3
gary hall jr.	USA	Swimming	5
gary hall jr., ian crocker, nate dusing, jason lezak, michael phelps, gabe woodward, neil walker	USA	Swimming	1
gary ilman, don schollander, michael austin, steve clark	USA	Swimming	1
gary oakes	GBR	Athletics	1
gaston delaplane	FRA	Rowing	1
gaston giran, alfred pl?	FRA	Rowing	1
gaston godel	SUI	Athletics	1
gaston mercier, yves delacour, guy guillabert, ren? guissart	FRA	Rowing	1
gaston reiff	BEL	Athletics	1
gaston roelants	BEL	Athletics	1
gaston strobino	USA	Athletics	1
geert jan derksen, gerritjan eggenkamp, jan-willem gabriels, chun wei cheung, michiel bartman, matthijs vellenga, gijs vermeulen, diederik simon, daniel mensch	NED	Rowing	1
geertje wielema	NED	Swimming	1
gelindo bordin	ITA	Athletics	1
gennady bukarin	URS	Canoeing	1
gennady korshikov, aleksandr timoshinin	URS	Rowing	1
gennady prigoda	URS	Swimming	1
geoff huegill	AUS	Swimming	1
geoff stewart, james stewart, ben dodwell, bo hanson	AUS	Rowing	1
george bovell	TRI	Swimming	1
george breen	USA	Swimming	3
george breen, richard hanley, ford konno, william woolsey	USA	Swimming	1
george bridgewater, nathan twaddle	NZL	Rowing	1
george dicarlo	USA	Swimming	2
george dietz, august erker, albert nasse, arthur stockhoff	USA	Rowing	1
george harrison, richard blick, jeffrey farrell, michael troy	USA	Swimming	1
george hodgson	CAN	Swimming	2
george hungerford, roger jackson	CAN	Rowing	1
george hutson	GBR	Athletics	1
george kerr	BWI	Athletics	1
george kerr, keith gardner, james wedderburn, malcolm spence	BWI	Athletics	1
george kojac	USA	Swimming	1
george mackay, archibald black, colin finlayson, william wood	CAN	Rowing	1
george nash, william satch	GBR	Rowing	1
george orton	CAN	Athletics	1
george poage	USA	Athletics	1
george rhoden	JAM	Athletics	1
george rhoden, arthur wint, herb mckenley, leslie laing	JAM	Athletics	1
george saling	USA	Athletics	1
georges dransart, georges gandil	FRA	Canoeing	1
george simpson	USA	Athletics	1
georges piot, maurice bouton	FRA	Rowing	1
georges vallerey	FRA	Swimming	1
georgeta damian, viorica susanu	ROM	Rowing	1
george vernot	CAN	Swimming	2
george young	USA	Athletics	1
georgina bardach	ARG	Swimming	1
georg lammers	GER	Athletics	1
georgy prokopenko	URS	Swimming	1
gerald ashworth, paul drayton, bob hayes, richard stebbins	USA	Athletics	1
gerard nijboer	NED	Athletics	1
gerhard boetzelen, herbert buhtz	GER	Rowing	1
gerhard hennige	FRG	Athletics	1
gerhard hetz	GER	Swimming	1
gerhard hetz, hans-joachim klein, uwe jacobsen, horst-g?nter gregor, frank wiegand	GER	Swimming	1
germain chardin, dorian mortelette	FRA	Rowing	1
gert fredriksson	SWE	Canoeing	4
gert fredriksson, sven-olof sj?delius	SWE	Canoeing	1
gertrude ederle	USA	Swimming	2
gertrude liebhart	AUT	Canoeing	1
gete wami	ETH	Athletics	3
gezahgne abera	ETH	Athletics	1
gheorghe simionov, gheorghe danilov	ROM	Canoeing	1
giancarlo crosta, renato bosatta, tullio baraglia, giuseppe galante	ITA	Rowing	1
gilbert bozon	FRA	Swimming	1
giovanni calabrese, nicola sartori	ITA	Rowing	1
giovanni de benedictis	ITA	Athletics	1
gisela arendt	GER	Swimming	1
giuseppe moioli, elio morille, giovanni invernizzi, franco faggi	ITA	Rowing	1
giuseppina leone	ITA	Athletics	1
gladys carson	GBR	Swimming	1
glen housman	AUS	Swimming	1
glenn beringen	AUS	Swimming	1
glenn buchanan	SUR	Swimming	1
glenn cunningham	USA	Athletics	1
glenn davis	USA	Athletics	2
glenn davis, otis davis, jack yerman, earl young	USA	Athletics	1
glenn hardin	USA	Athletics	2
glenroy gilbert, robert esmie, donovan bailey, bruny surin	CAN	Athletics	1
gloria siebert	GDR	Athletics	1
glory alozie	NGR	Athletics	1
?gnes kov?cs	HUN	Swimming	2
g?nther pfaff, gerhard seibold	AUT	Canoeing	1
godfrey brown	GBR	Athletics	1
godfrey brown, godfrey rampling, william roberts, freddie wolff	GBR	Athletics	1
gordon pirie	GBR	Athletics	1
gottfried kottmann	SUI	Rowing	1
grace jackson	JAM	Athletics	1
graeme brewer	AUS	Swimming	1
graeme smith	GBR	Swimming	1
graham windeatt	AUS	Swimming	1
g?ran larsson	SWE	Swimming	1
grant davies	AUS	Canoeing	1
grant hackett	AUS	Swimming	4
grant hackett, michael klim, todd pearson, antony matkovich, nicholas sprenger, craig stevens, ian thorpe	AUS	Swimming	1
grant hackett, nick ffrost, leith brodie, grant brits, patrick murphy, kirk palmer	AUS	Swimming	1
grantley goulding	GBR	Athletics	1
g?rard blitz	BEL	Swimming	1
gratsian botev, pavel kharin	URS	Canoeing	1
greg barton	USA	Canoeing	3
greg barton, norman bellingham	USA	Canoeing	1
greg foster	USA	Athletics	1
greg haughton	JAM	Athletics	1
gregor hradetzky	AUT	Canoeing	1
gregory brough	AUS	Swimming	1
gregory buckingham	USA	Swimming	1
