Athlete	CountryName	CountryCode	Gender	Sport	Medals	Appearances
aigars fadejevs	Latvia	LAT	Male	Athletics	1	1
aileen meagher, mildred dolson, hilda cameron, dorothy brookshaw	Canada	CAN	Female	Athletics	1	1
aileen riggin	United States of America	USA	Female	Swimming	1	1
aina berg, wivan pettersson, gurli everlund, hj?rdis t?pel	Sweden	SWE	Female	Swimming	1	1
ai shibata	Japan	JPN	Female	Swimming	1	1
aissa djabir said-guerni	Algeria	ALG	Male	Athletics	1	1
akos vereckei, botond storcz, zoltan kammerer, g?bor horv?th	Hungary	HUN	Male	Canoeing	1	1
alain bernard	France	FRA	Male	Swimming	2	1
alain lebas	France	FRA	Male	Canoeing	1	1
alain mimoun	France	FRA	Male	Athletics	4	3
alain mosconi	France	FRA	Male	Swimming	1	1
alajos szokolyi	Hungary	HUN	Male	Athletics	1	1
alan campbell	Great Britain	GBR	Male	Rowing	1	1
alan ford	United States of America	USA	Male	Swimming	1	1
alan grover, alfred duval, joseph fazio, peter dickson, david douglas, robert shirlaw, michael morgan, gary pearce, john ranch	Australia	AUS	Male	Rowing	1	1
alan mcclatchey, brian brinkley, gordon downie, david dunne	Great Britain	GBR	Male	Swimming	1	1
alan pascoe, martin reynolds, david jenkins, david hemery	Great Britain	GBR	Male	Athletics	1	1
alan thompson	New Zealand	NZL	Male	Canoeing	1	1
albert coray	United States of America	USA	Male	Athletics	1	1
albert hill	Great Britain	GBR	Male	Athletics	2	1
alberto cova	Italy	ITA	Male	Athletics	1	1
alberto demiddi	Argentina	ARG	Male	Rowing	2	2
alberto juantorena	Cuba	CUB	Male	Athletics	2	1
alberto zorrilla	Argentina	ARG	Male	Swimming	1	1
albert schwartz	United States of America	USA	Male	Swimming	1	1
albert vandeweghe	United States of America	USA	Male	Swimming	1	1
albina osipowich	United States of America	USA	Female	Swimming	1	1
albin lermusiaux	France	FRA	Male	Athletics	1	1
albin stenroos	Finland	FIN	Male	Athletics	2	2
alb?n vermes	Hungary	HUN	Male	Swimming	1	1
alejandro casa?as	Cuba	CUB	Male	Athletics	2	2
aleksandra fedoriva, yulia gushchina, yuliya chermoshanskaya, evgeniya polyakova	Russia	RUS	Female	Athletics	1	1
aleksandra gerasimenya	Belarus	BLR	Female	Swimming	2	1
aleksandr anufriyev	Soviet Union	URS	Male	Athletics	1	1
aleksandr berkutov, yury tyukalov	Soviet Union	URS	Male	Rowing	2	2
aleksandr chayev	Soviet Union	URS	Male	Swimming	1	1
aleksandr lukyanov, viktor omelyanovich, vasily tikhonov, andrey vasilyev, aleksandr dumchev, viktor diduk, veniamin but, nikolay komarov, pavel gurkovsky	Soviet Union	URS	Male	Rowing	1	1
aleksandr maseykov, dmitry dovgalenok	Soviet Union	URS	Male	Canoeing	1	1
aleksandr popov	Russia	RUS	Male	Swimming	3	3
aleksandr popov	Soviet Union	URS	Male	Swimming	2	3
aleksandr puchkov	Soviet Union	URS	Male	Athletics	1	1
aleksandr rogov	Soviet Union	URS	Male	Canoeing	1	1
aleksandr shaparenko	Soviet Union	URS	Male	Canoeing	2	2
aleksandr sidorenko	Soviet Union	URS	Male	Swimming	1	1
aleksandr silayev	Soviet Union	URS	Male	Canoeing	1	1
aleksandr vinogradov, sergey petrenko	Soviet Union	URS	Male	Canoeing	1	1
aleksey kudryavtsev, dmitry lepikov, vladimir pyshnenko, yury mukhin, veniamin tayanovich, yevgeny sadovyi	Soviet Union	URS	Male	Swimming	1	1
aleksey voyevodin	Russia	RUS	Male	Athletics	1	1
alessandro lambruschini	Italy	ITA	Male	Athletics	1	1
alessia filippi	Italy	ITA	Female	Swimming	1	1
alessio sartori, romano battisti	Italy	ITA	Male	Rowing	1	1
alessio sartori, rossano galtarossa	Italy	ITA	Male	Rowing	1	1
alexander daleoen	Norway	NOR	Male	Swimming	1	1
alexander kostoglod, alexander kovalev	Russia	RUS	Male	Canoeing	2	1
alexander luderitz, mark pinger, bengt zikarsky, bj?rn zikarsky, christian tr?ger	Germany	GER	Male	Swimming	1	1
alexander mcculloch	Great Britain	GBR	Male	Rowing	1	1
alexander wilson	Canada	CAN	Male	Athletics	2	1
alexander wilson, raymond lewis, james ball, philip edwards	Canada	CAN	Male	Athletics	1	1
alexander wilson, stanley glover, philip edwards, james ball	Canada	CAN	Male	Athletics	1	1
alexandra barr?, sue holloway	Canada	CAN	Female	Canoeing	1	1
alexandra tsiavou, christina giazitzidou	Greece	GRE	Female	Rowing	1	1
alexandre jany, aldo eminente, jean boiteux, joseph bernardo	France	FRA	Male	Swimming	1	1
alexandre jany, henri padou, ren? cornu, joseph bernardo	France	FRA	Male	Swimming	1	1
alex baumann	Canada	CAN	Male	Swimming	2	1
alexe dumitru, simion ismailciuc	Romania	ROM	Male	Canoeing	1	1
alexey korovashkov, ilya pervukhin	Russia	RUS	Male	Canoeing	1	1
alex schwazer	Italy	ITA	Male	Athletics	1	1
alf hansen, frank hansen	Norway	NOR	Male	Rowing	1	1
alf hansen, lars bj?nness, vetle vinje, rolf thorsen	Norway	NOR	Male	Rowing	1	1
alfons dorfner, adolf kainz	Austria	AUT	Male	Canoeing	1	1
alfr?d haj?s	Hungary	HUN	Male	Swimming	1	1
alfred bachmann, heinrich fischer	Switzerland	SUI	Male	Rowing	1	1
alfred dompert	Germany	GER	Male	Athletics	1	1
alfred healey	Great Britain	GBR	Male	Athletics	1	1
alfred sageder, josef kloimstein	Austria	AUT	Male	Rowing	1	1
alfred tysoe	Great Britain	GBR	Male	Athletics	1	1
alfred wilson, howard kingsbury, leonard carpenter, john miller, al lindley, james rockefeller, benjamin spock, laurence stoddard, frederick sheffield	United States of America	USA	Male	Rowing	1	1
alfred yego	Kenya	KEN	Male	Athletics	1	1
aliaksandr bahdanovich, andrei bahdanovich	Belarus	BLR	Male	Canoeing	2	2
aliaksei abalmasau, raman piatrushenka, vadzim makhneu, artur litvinchuk	Belarus	BLR	Male	Canoeing	1	1
alice bridges	United States of America	USA	Female	Swimming	1	1
alice brown	United States of America	USA	Female	Athletics	1	1
alice mills, petria thomas, giaan rooney, brooke hanson, jodie henry, leisel jones, jessicah schipper	Australia	AUS	Female	Swimming	1	1
alicia coutts	Australia	AUS	Female	Swimming	2	1
ali ezzine	Morocco	MAR	Male	Athletics	1	1
ali saidi-sief	Algeria	ALG	Male	Athletics	1	1
allan lawrence	Australia	AUS	Male	Athletics	1	1
allan wells	Great Britain	GBR	Male	Athletics	2	1
allan wood	Australia	AUS	Male	Swimming	2	1
allen johnson	United States of America	USA	Male	Athletics	1	1
allen stack	United States of America	USA	Male	Swimming	1	1
allen woodring	United States of America	USA	Male	Athletics	1	1
allison schmitt	United States of America	USA	Female	Swimming	2	1
allison wagner	United States of America	USA	Female	Swimming	1	1
allyson felix	United States of America	USA	Female	Athletics	3	3
allyson felix, deedee trotter, sanya richards-ross, francena mccorory	United States of America	USA	Female	Athletics	1	1
allyson felix, tianna madison, bianca knight, carmelita jeter	United States of America	USA	Female	Athletics	1	1
alonzo babers	United States of America	USA	Male	Athletics	1	1
alva colqhoun, lorraine crapp, dawn fraser, ilsa konrads	Australia	AUS	Female	Swimming	1	1
alvah meyer	United States of America	USA	Male	Athletics	1	1
alvin harrison	United States of America	USA	Male	Athletics	1	1
alvin harrison, derek mills, lamont smith, anthuan maybank	United States of America	USA	Male	Athletics	1	1
alvin kraenzlein	United States of America	USA	Male	Athletics	1	1
alwyn morris, hugh fisher	Canada	CAN	Male	Canoeing	1	1
amadou dia b?	Senegal	SEN	Male	Athletics	1	1
amanda beard	United States of America	USA	Female	Swimming	5	3
amaury leveaux	France	FRA	Male	Swimming	1	1
amaury leveaux, clement lefert, gregory mallet, yannick agnel	France	FRA	Male	Swimming	1	1
ambrose gaines	United States of America	USA	Male	Swimming	1	1
amos biwott	Kenya	KEN	Male	Athletics	1	1
amy van dyken	United States of America	USA	Female	Swimming	2	1
amy van dyken, jenny thompson, angel martino, kristine quance, catherine fox, amanda beard, beth botsford, whitney hedgepeth	United States of America	USA	Female	Swimming	1	1
amy white	United States of America	USA	Female	Swimming	1	1
ana guevara	Mexico	MEX	Female	Athletics	1	1
ana quirot	Cuba	CUB	Female	Athletics	2	2
anastasia zueva	Russia	RUS	Female	Swimming	1	1
anatoly grishin, nikolay chuzhikov, vyacheslav ionov, vladimir morozov	Soviet Union	URS	Male	Canoeing	1	1
anatoly mikhaylov	Soviet Union	URS	Male	Athletics	1	1
anatoly sass, aleksandr timoshinin	Soviet Union	URS	Male	Rowing	1	1
anca patrascoiu	Romania	ROM	Female	Swimming	1	1
anders g?rderud	Sweden	SWE	Male	Athletics	1	1
anders holmertz	Sweden	SWE	Male	Swimming	3	2
anders holmertz, lars fr?lander, tommy werner, christer wallin	Sweden	SWE	Male	Swimming	1	1
andrea gyarmati	Hungary	HUN	Female	Swimming	2	1
andrea pollack	German Democratic Republic	GDR	Female	Swimming	3	2
andrea pollack, claudia hempel, kornelia ender, petra priemer	German Democratic Republic	GDR	Female	Swimming	1	1
andrea pollack, hannelore anke, kornelia ender, ulrike richter	German Democratic Republic	GDR	Female	Swimming	1	1
andreas dittmer	Germany	GER	Male	Canoeing	4	2
andreas dittmer, gunar kirchbach	Germany	GER	Male	Canoeing	1	1
andreas hajek, andr? steiner, stephan volkert, andr? willms	Germany	GER	Male	Rowing	1	1
andreas ihle, martin hollstein	Germany	GER	Male	Canoeing	1	1
andreas st?hle	German Democratic Republic	GDR	Male	Canoeing	1	1
andreas szigat, christian tr?ger, mark pinger, dirk richter, jonathon cleveland, steffen zesner, bengt zikarsky	Germany	GER	Male	Swimming	1	1
andrei igorov	Romania	ROM	Male	Canoeing	1	1
andre phillips	United States of America	USA	Male	Athletics	1	1
andrew byrnes, kyle hamilton, malcolm howard, adam kreek, ben rutledge, brian price, kevin light, jake wetzel, dominic sieterle	Canada	CAN	Male	Rowing	1	1
andrew charlton	Australia	AUS	Male	Swimming	4	2
andrew charlton, maurice christie, frank beaurepaire, ernest henry	Australia	AUS	Male	Swimming	1	1
andrew jameson	Great Britain	GBR	Male	Swimming	1	1
andrew lauterstein	Australia	AUS	Male	Swimming	1	1
andrew lauterstein, patrick murphy, ashley callus, leith brodie, eamon sullivan, matt targett	Australia	AUS	Male	Swimming	1	1
andrew triggs-hodge, steve williams, peter reed, tom james	Great Britain	GBR	Male	Rowing	1	1
andrew trim, danny collins	Australia	AUS	Male	Canoeing	1	1
andrey bogdanov, sergey koplyakov, andrey krylov, vladimir raskatov	Soviet Union	URS	Male	Swimming	1	1
andrey grechin, danila izotov, nikita lobintsev, vladimir morozov	Russia	RUS	Male	Swimming	1	1
andrey korneyev	Russia	RUS	Male	Swimming	1	1
andrey krylov	Soviet Union	URS	Male	Swimming	2	1
andrey perlov	Soviet Union	URS	Male	Athletics	1	1
andrey smirnov	Soviet Union	URS	Male	Swimming	1	1
andr? gaudin	France	FRA	Male	Rowing	1	1
andrian dushev, milko kazanov	Bulgaria	BUL	Male	Canoeing	1	1
andriy serdinov	Ukraine	UKR	Male	Swimming	1	1
andr?s hargitay	Hungary	HUN	Male	Swimming	1	1
andr? silva, arnaldo silva, edson ribeiro, robson da silva	Brazil	BRA	Male	Athletics	1	1
andr? wohllebe	German Democratic Republic	GDR	Male	Canoeing	1	1
andr? wohllebe, andreas st?hle, hans-j?rg bliesener, kay bluhm	German Democratic Republic	GDR	Male	Canoeing	1	1
andrzej badewski	Poland	POL	Male	Athletics	1	1
andrzej gronowicz, jerzy opara	Poland	POL	Male	Canoeing	1	1
andrzej zieliwski, wieslaw maniak, marian foik, marian dudziak	Poland	POL	Male	Athletics	1	1
andy holmes, steven redgrave	Great Britain	GBR	Male	Rowing	1	1
andy stanfield	United States of America	USA	Male	Athletics	2	2
aneta konieczna, beata mikolajczyk	Poland	POL	Female	Canoeing	1	1
aneta pastuszka, beata sokolowska	Poland	POL	Female	Canoeing	2	2
anette r?ckes, rita wilden, hildegard falck, inge b?dding	West Germany	FRG	Female	Athletics	1	1
anett schuck, manuela mucke, birgit fischer, katrin wagner	Germany	GER	Female	Canoeing	1	1
angela alupei, constanta burcica-pipota	Romania	ROM	Female	Rowing	1	1
angela bailey, france gareau, angella taylor, marita payne	Canada	CAN	Female	Athletics	1	1
angela kennedy, helen denman, samantha riley, sarah ryan, nicole stevenson, susan o'neill	Australia	AUS	Female	Swimming	1	1
angel martino	United States of America	USA	Female	Swimming	3	2
angelo taylor	United States of America	USA	Male	Athletics	2	2
angelo taylor, tony mcquay, bryshon nellum, joshua mance	United States of America	USA	Male	Athletics	1	1
anier garcia	Cuba	CUB	Male	Athletics	2	2
anita lonsbrough	Great Britain	GBR	Female	Swimming	1	1
anita nall	United States of America	USA	Female	Swimming	2	1
anke m?hring	German Democratic Republic	GDR	Female	Swimming	1	1
anna olsson, susanne rosenqvist, maria haglund, agneta andersson	Sweden	SWE	Female	Canoeing	1	1
anna pfeffer	Hungary	HUN	Female	Canoeing	1	1
anna pfeffer, katalin rozsny?i	Hungary	HUN	Female	Canoeing	1	1
anna seaton, stephanie maxwell-pierson	United States of America	USA	Female	Rowing	1	1
ann curtis	United States of America	USA	Female	Swimming	2	1
annegret richter	West Germany	FRG	Female	Athletics	2	1
annelie ehrhardt	German Democratic Republic	GDR	Female	Athletics	1	1
annelies bredael	Belgium	BEL	Female	Rowing	1	1
anne marden	United States of America	USA	Female	Rowing	1	1
annemarie cox, annemiek derckx	Netherlands	NED	Female	Canoeing	1	1
annemarie verstappen	Netherlands	NED	Female	Swimming	2	1
annemiek de haan, hurnet dekkers, nienke hommes, esther worhel, froukje wegman, annemarieke van rumpt, marlies smulders, helen tanger, sarah siegelaar	Netherlands	NED	Female	Rowing	1	1
annemiek derckx	Netherlands	NED	Female	Canoeing	1	1
anne ottenbrite	Canada	CAN	Female	Swimming	2	1
anne poleska	Germany	GER	Female	Swimming	1	1
annie vernon, debbie flood, katherine grainger, frances houghton	Great Britain	GBR	Female	Rowing	1	1
anni holdmann, leni junker, rosa kellner, leni schmidt	Germany	GER	Female	Athletics	1	1
ann jardin, wendy hogg, robin corsiglia, susan sloan	Canada	CAN	Female	Swimming	1	1
ann packer	Great Britain	GBR	Female	Athletics	2	1
antal kiss	Hungary	HUN	Male	Athletics	1	1
antal r?ka	Hungary	HUN	Male	Athletics	1	1
antanas mikenas	Soviet Union	URS	Male	Athletics	1	1
anthony edwards, ben cureton, simon burgess, glen loftus	Australia	AUS	Male	Rowing	1	1
anthony edwards, bruce hick	Australia	AUS	Male	Rowing	1	1
anthony ervin	United States of America	USA	Male	Swimming	1	1
anthony mosse	New Zealand	NZL	Male	Swimming	1	1
anthony nesty	Suriname	SUR	Male	Swimming	2	2
antje buschschulte	Germany	GER	Female	Swimming	1	1
antje buschschulte, kerstin kielga?, sara harstick, franziska van almsick	Germany	GER	Female	Swimming	1	1
antje buschschulte, meike freitag, simone osygus, sandra v?lker, franziska van almsick	Germany	GER	Female	Swimming	1	1
antoaneta frenkeva	Bulgaria	BUL	Female	Swimming	2	1
antoine richard, hermann panzo, pascal barr?, patrick barr?	France	FRA	Male	Athletics	1	1
antonel borsan, marcel glavan	Romania	ROM	Male	Canoeing	1	1
antonina melnikova	Soviet Union	URS	Female	Canoeing	1	1
antonina seredina	Soviet Union	URS	Female	Canoeing	1	1
antonina seredina, lyudmila pinayeva-khvedosyuk	Soviet Union	URS	Female	Canoeing	1	1
antonina seredina, mariya shubina	Soviet Union	URS	Female	Canoeing	1	1
antonio leit?o	Portugal	POR	Male	Athletics	1	1
antonio mckay	United States of America	USA	Male	Athletics	1	1
antonio pettigrew, alvin harrison, calvin harrison, michael johnson	United States of America	USA	Male	Athletics	1	1
antonio rossi	Italy	ITA	Male	Canoeing	1	1
antonio rossi, beniamino bonomi	Italy	ITA	Male	Canoeing	2	2
antonio rossi, bruno dreossi	Italy	ITA	Male	Canoeing	1	1
antonio scaduto, andrea facchin	Italy	ITA	Male	Canoeing	1	1
antti kasvio	Finland	FIN	Male	Swimming	1	1
archibald mckinnon, lorne loomer, donald arnold, ignace d'hondt	Canada	CAN	Male	Rowing	1	1
archie hahn	United States of America	USA	Male	Athletics	3	2
archie williams	United States of America	USA	Male	Athletics	1	1
ardalion ignatyev	Soviet Union	URS	Male	Athletics	1	1
aries merritt	United States of America	USA	Male	Athletics	1	1
arkady vyatchanin	Russia	RUS	Male	Swimming	2	1
armas toivonen	Finland	FIN	Male	Athletics	1	1
armin hary	Germany	GER	Male	Athletics	1	1
arne bergodd, rolf andreassen, ole nafstad, finn tveter	Norway	NOR	Male	Rowing	1	1
arne borg	Sweden	SWE	Male	Swimming	4	2
arne borg, ?ke borg, georg werner, orvar trolle	Sweden	SWE	Male	Swimming	1	1
arne nielsson, christian wig?	Denmark	DEN	Male	Canoeing	1	1
arno bieberstein	Germany	DEU	Male	Swimming	1	1
arnold jackson	Great Britain	GBR	Male	Athletics	1	1
arnold jonke, christoph zerbst	Austria	AUT	Male	Rowing	1	1
arsen miskarov	Soviet Union	URS	Male	Swimming	2	1
arthur ayrault, john sayre, ted nash, rusty wailes	United States of America	USA	Male	Rowing	1	1
arthur barnard	United States of America	USA	Male	Athletics	1	1
arthur blake	United States of America	USA	Male	Athletics	1	1
arthur jonath	Germany	GER	Male	Athletics	1	1
arthur newton	United States of America	USA	Male	Athletics	2	1
arthur porritt	New Zealand	NZL	Male	Athletics	1	1
arthur schwab	Switzerland	SUI	Male	Athletics	1	1
arthur shaw	United States of America	USA	Male	Athletics	1	1
arthur wint	Jamaica	JAM	Male	Athletics	3	2
arto bryggare	Finland	FIN	Male	Athletics	1	1
artur svensson, gustav weijnarth, nils engdahl, erik byl?hn	Sweden	SWE	Male	Athletics	1	1
artur wojdat	Poland	POL	Male	Swimming	1	1
arvidas juozaitis	Soviet Union	URS	Male	Swimming	1	1
arvo aaltonen	Finland	FIN	Male	Swimming	1	1
arvo askola	Finland	FIN	Male	Athletics	1	1
arvo ojanper?	Finland	FIN	Male	Canoeing	1	1
asafa powell, michael frater, nesta carter, usain bolt, dwight thomas	Jamaica	JAM	Male	Athletics	1	1
asbel kiprop	Kenya	KEN	Male	Athletics	1	1
ashley tappin, jenny thompson, angel martino, nicole haislett, crissy ahmann-leighton, dara torres	United States of America	USA	Female	Swimming	1	1
asli cakir alptekin	Turkey	TUR	Female	Athletics	1	1
assefa mezgebu	Ethiopia	ETH	Male	Athletics	1	1
astrid strau?	German Democratic Republic	GDR	Female	Swimming	1	1
atanase sciotnic, aurel vernescu, mihai turcas, simion cuciuc	Romania	ROM	Male	Canoeing	1	1
athanasia tsoumeleka	Greece	GRE	Female	Athletics	1	1
ato boldon	Trinidad and Tobago	TRI	Male	Athletics	4	2
attila adrovicz, ferenc csipes, andr?s rajna, g?bor horv?th	Hungary	HUN	Male	Canoeing	1	1
attila ?brah?m, ferenc csipes	Hungary	HUN	Male	Canoeing	1	1
attila ?brah?m, ferenc csipes, zsolt gyulai, l?szl? fidel	Hungary	HUN	Male	Canoeing	1	1
attila czene	Hungary	HUN	Male	Swimming	2	2
attila vajda	Hungary	HUN	Male	Canoeing	2	2
audrey patterson	United States of America	USA	Female	Athletics	1	1
audrey williamson	Great Britain	GBR	Female	Athletics	1	1
audun boysen	Norway	NOR	Male	Athletics	1	1
august desch	United States of America	USA	Male	Athletics	1	1
aurel vernescu	Romania	ROM	Male	Canoeing	1	1
aurica barascu, georgeta damian, doina ignat, elena georgescu, rodica florea, liliana gafencu, viorica susanu, ioana papuc, elisabeta lipa	Romania	ROM	Female	Rowing	1	1
aya terakawa	Japan	JPN	Female	Swimming	1	1
aya terakawa, yuka kato, haruka ueda, satomi suzuki	Japan	JPN	Female	Swimming	1	1
barbara burke, audrey brown, eileen hiscock, violet olney	Great Britain	GBR	Female	Athletics	1	1
barbara ferrell	United States of America	USA	Female	Athletics	1	1
barbara g?bel	Germany	GER	Female	Swimming	1	1
barbara jones, martha hudson, wilma rudolph, lucinda williams	United States of America	USA	Female	Athletics	1	1
barbara krause	German Democratic Republic	GDR	Female	Swimming	2	1
barbara olmsted, lucie guay, sue holloway, alexandra barr?	Canada	CAN	Female	Canoeing	1	1
barbara sch?ttpelz	West Germany	FRG	Female	Canoeing	1	1
barney ewell	United States of America	USA	Male	Athletics	2	1
barry kelly, grant kenny	Australia	AUS	Male	Canoeing	1	1
barry magee	New Zealand	NZL	Male	Athletics	1	1
basil heatley	Great Britain	GBR	Male	Athletics	1	1
beata mikolajczyk, karolina naja	Poland	POL	Female	Canoeing	1	1
beatrice caslaru	Romania	ROM	Female	Swimming	2	1
beatrice lyons	Australia	AUS	Female	Swimming	1	1
beatrice utondu, mary onyali, christy opara-thompson, faith idehen	Nigeria	NGR	Female	Athletics	1	1
beaufort burdekin, robert bourne, william fison, thomas gillespie, john walker, arthur wiggins, charles littlejohn, william parker, frederick pitman	Great Britain	GBR	Male	Rowing	1	1
becky smith	Canada	CAN	Female	Swimming	1	1
becky smith, gail amundrud, barbara clark, ann jardin	Canada	CAN	Female	Swimming	1	1
ben eastman	United States of America	USA	Male	Athletics	1	1
ben fouhy	New Zealand	NZL	Male	Canoeing	1	1
bengt baron	Sweden	SWE	Male	Swimming	1	1
ben hunt-davis, simon dennis, rowley douglas, louis attrill, steve trapmore, kieran west, andrew lindsay, luka grubor, fred scarlett	Great Britain	GBR	Male	Rowing	1	1
beniamino bonomi	Italy	ITA	Male	Canoeing	1	1
beniamino bonomi, daniele scarpa	Italy	ITA	Male	Canoeing	1	1
benita fitzgerald-brown	United States of America	USA	Female	Athletics	1	1
benjamin kogo	Kenya	KEN	Male	Athletics	1	1
ben jipcho	Kenya	KEN	Male	Athletics	1	1
ben johnson	Canada	CAN	Male	Athletics	1	1
ben johnson, tony sharpe, sterling hinds, desai williams	Canada	CAN	Male	Athletics	1	1
benny nielsen	Denmark	DEN	Male	Swimming	1	1
bent rasch, finn haunstoft	Denmark	DEN	Male	Canoeing	1	1
bergen, csima, gibson, mccabe, howard, byrnes, brown, crothers, price	Canada	CAN	Male	Rowing	1	1
bernard bregeon	France	FRA	Male	Canoeing	1	1
bernard lagat	Kenya	KEN	Male	Athletics	2	2
bernardo sugura	Mexico	MEX	Male	Athletics	1	1
bernard williams iii	United States of America	USA	Male	Athletics	1	1
bernd duvigneau, r?diger helm, frank-peter bischof, j?rgen lehnert	German Democratic Republic	GDR	Male	Canoeing	1	1
bernd kannenberg	West Germany	FRG	Male	Athletics	1	1
bernd landvoigt, j?rg landvoigt	German Democratic Republic	GDR	Male	Rowing	2	2
bernd landvoigt, j?rg landvoigt, hans-joachim borzym, harold dimke, heinrich mederow, dietmar schwarz, manfred schmorde, manfred schneider, hartmut schreiber	German Democratic Republic	GDR	Male	Rowing	1	1
bernd olbricht, joachim mattern	German Democratic Republic	GDR	Male	Canoeing	1	1
bernhard von gaza	Germany	DEU	Male	Rowing	1	1
bershawn jackson	United States of America	USA	Male	Athletics	1	1
bertha brouwer	Netherlands	NED	Female	Athletics	1	1
bertil albertsson	Sweden	SWE	Male	Athletics	1	1
bertrand vecten, olivier moncelet, gilles bosquet, daniel fauche	France	FRA	Male	Rowing	1	1
beth botsford	United States of America	USA	Female	Swimming	1	1
betsy mitchell	United States of America	USA	Female	Swimming	1	1
betty cuthbert	Australia	AUS	Female	Athletics	3	2
beverley whitfield	Australia	AUS	Female	Swimming	2	1
beverly mcdonald	Jamaica	JAM	Female	Athletics	1	1
bevil rudd	South Africa	SAF	Male	Athletics	2	1
bill carr	United States of America	USA	Male	Athletics	1	1
bill dellinger	United States of America	USA	Male	Athletics	1	1
bill hogenson	United States of America	USA	Male	Athletics	2	1
bill mulliken	United States of America	USA	Male	Swimming	1	1
billy mills	United States of America	USA	Male	Athletics	1	1
birgit fischer	German Democratic Republic	GDR	Female	Canoeing	2	3
birgit fischer	Germany	GER	Female	Canoeing	1	3
birgit fischer, anke nothnagel-von seck	German Democratic Republic	GDR	Female	Canoeing	1	1
birgit fischer, carolin leonhardt	Germany	GER	Female	Canoeing	1	1
birgit fischer, katrin wagner	Germany	GER	Female	Canoeing	1	1
birgit fischer, ramona portwich	Germany	GER	Female	Canoeing	1	1
birgit fischer, ramona portwich, anett schuck, manuela mucke	Germany	GER	Female	Canoeing	1	1
birgit fischer, ramona portwich, heike singer, anke nothnagel-von seck	German Democratic Republic	GDR	Female	Canoeing	1	1
birgit peter, martina schr?ter	German Democratic Republic	GDR	Female	Rowing	1	1
birgit treiber	German Democratic Republic	GDR	Female	Swimming	3	2
birte weigang	German Democratic Republic	GDR	Female	Swimming	2	1
birte weigang, kathrin mei?ner, kristin otto, silke h?rner	German Democratic Republic	GDR	Female	Swimming	1	1
birute sakickiene, kristina poplavskaja	Lithuania	LTU	Female	Rowing	1	1
bisi afolabi, falilat ogunkoya, charity opara, fatima yusuf	Nigeria	NGR	Female	Athletics	1	1
bjorn bach, jan sch?fer, stefan ulm, mark zabel	Germany	GER	Male	Canoeing	1	1
bj?rn hasl?v, kurt helmudt, john hansen, erik petersen	Denmark	DEN	Male	Rowing	1	1
b?la goldov?nyi, gy?rgy cs?nyi, l?szl? zar?ndi, g?za varasdi	Hungary	HUN	Male	Athletics	1	1
blain lindgren	United States of America	USA	Male	Athletics	1	1
blair horn, mark evans, michael evans, dean crawford, grant main, kevin neufeld, brian mcmahon, paul steele, patrick turner	Canada	CAN	Male	Rowing	1	1
bobby morrow	United States of America	USA	Male	Athletics	2	1
bobby pearce	Australia	AUS	Male	Rowing	2	2
bob hayes	United States of America	USA	Male	Athletics	1	1
bob leavitt	United States of America	USA	Male	Athletics	1	1
